actor,count,movies_with_actor,my_rating,avg_rating,diff_rating
MarkHamill,9,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Kingsman: The Secret Service', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'The Wild Robot', 'The Life of Chuck']",3.67,3.63,0.03
HarrisonFord,9,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Blade Runner', 'Apocalypse Now', 'The Conversation', 'Blade Runner 2049', 'Raiders of the Lost Ark']",4.00,4.09,-0.09
CarrieFisher,7,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: The Rise of Skywalker', 'When Harry Met Sally...']",3.86,3.59,0.27
PeterCushing,1,['Star Wars'],4.00,4.16,-0.16
AlecGuinness,4,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'The Bridge on the River Kwai']",4.25,4.22,0.03
AnthonyDaniels,8,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Star Wars: The Rise of Skywalker', 'The Lego Movie']",3.38,3.50,-0.13
KennyBaker,5,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Amadeus']",3.30,4.02,-0.72
PeterMayhew,4,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi', 'Star Wars: The Force Awakens']",4.25,3.97,0.28
DavidProwse,3,"['Star Wars', 'The Empire Strikes Back', 'Return of the Jedi']",4.17,4.22,-0.05
JamesEarlJones,4,"['Star Wars', 'Return of the Jedi', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb', 'Claudine']",4.12,4.09,0.04
PhilBrown,1,['Star Wars'],4.00,4.16,-0.16
ShelaghFraser,1,['Star Wars'],4.00,4.16,-0.16
JackPurvis,2,"['Star Wars', 'The Empire Strikes Back']",4.25,4.28,-0.03
AlexMcCrindle,1,['Star Wars'],4.00,4.16,-0.16
EddieByrne,1,['Star Wars'],4.00,4.16,-0.16
DreweHenley,1,['Star Wars'],4.00,4.16,-0.16
DenisLawson,2,"['Star Wars', 'Return of the Jedi']",4.00,4.12,-0.12
GarrickHagon,1,['Star Wars'],4.00,4.16,-0.16
JackKlaff,1,['Star Wars'],4.00,4.16,-0.16
WilliamHootkins,2,"['Star Wars', 'Raiders of the Lost Ark']",3.50,4.16,-0.66
BillyDeeWilliams,6,"['The Empire Strikes Back', 'Return of the Jedi', 'I Am Not Your Negro', 'The Conversation', 'Star Wars: The Rise of Skywalker', 'The Lego Movie']",3.58,3.83,-0.25
FrankOz,7,"['The Empire Strikes Back', 'Return of the Jedi', 'Inside Out', 'Star Wars: The Last Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Knives Out', 'An American Werewolf in London']",3.57,3.73,-0.16
JeremyBulloch,1,['The Empire Strikes Back'],4.50,4.40,0.10
JasonWingreen,1,['The Empire Strikes Back'],4.50,4.40,0.10
JohnHollis,1,['The Empire Strikes Back'],4.50,4.40,0.10
DesWebb,1,['The Empire Strikes Back'],4.50,4.40,0.10
KathrynMullen,1,['The Empire Strikes Back'],4.50,4.40,0.10
MarjorieEaton,1,['The Empire Strikes Back'],4.50,4.40,0.10
CliveRevill,1,['The Empire Strikes Back'],4.50,4.40,0.10
KennethColley,2,"['The Empire Strikes Back', 'Return of the Jedi']",4.25,4.25,0.00
JulianGlover,1,['The Empire Strikes Back'],4.50,4.40,0.10
SebastianShaw,1,['Return of the Jedi'],4.00,4.09,-0.09
IanMcDiarmid,3,"['Return of the Jedi', 'Star Wars: Episode I – The Phantom Menace', 'Star Wars: The Rise of Skywalker']",2.50,3.17,-0.67
MichaelPennington,1,['Return of the Jedi'],4.00,4.09,-0.09
MichaelCarter,1,['Return of the Jedi'],4.00,4.09,-0.09
TimRose,1,['Return of the Jedi'],4.00,4.09,-0.09
DermotCrowley,2,"['Return of the Jedi', 'The Death of Stalin']",3.50,3.94,-0.44
CarolineBlakiston,1,['Return of the Jedi'],4.00,4.09,-0.09
EmilyBlunt,5,"['Sicario', 'Edge of Tomorrow', 'The Devil Wears Prada', 'Oppenheimer', 'The Fall Guy']",3.70,3.83,-0.13
BeniciodelToro,7,"['Sicario', 'Sin City', 'Guardians of the Galaxy', 'Fear and Loathing in Las Vegas', 'Star Wars: The Last Jedi', 'The French Dispatch of the Liberty, Kansas Evening Sun', 'One Battle After Another']",4.00,3.71,0.29
JoshBrolin,10,"['Sicario', 'No Country for Old Men', 'Avengers: Infinity War', 'The Goonies', 'Deadpool 2', 'Dune', 'Avengers: Endgame', 'Dune: Part Two', 'The Running Man', 'Wake Up Dead Man']",3.60,3.88,-0.28
VictorGarber,3,"['Sicario', 'Argo', 'Legally Blonde']",4.17,3.85,0.31
JonBernthal,5,"['Sicario', 'The Wolf of Wall Street', 'Snitch', 'Baby Driver', 'Wind River']",3.60,3.64,-0.04
DanielKaluuya,4,"['Sicario', 'Get Out', 'Nope', 'Black Panther']",3.62,3.88,-0.25
JeffreyDonovan,1,['Sicario'],4.50,4.00,0.50
RaoulMaxTrujillo,1,['Sicario'],4.50,4.00,0.50
JulioCesarCedillo,1,['Sicario'],4.50,4.00,0.50
HankRogerson,1,['Sicario'],4.50,4.00,0.50
BernardoP.Saracino,1,['Sicario'],4.50,4.00,0.50
MaximilianoHernández,2,"['Sicario', 'Captain America: The Winter Soldier']",4.50,3.88,0.62
KevinWiggins,1,['Sicario'],4.50,4.00,0.50
EdgarArreola,1,['Sicario'],4.50,4.00,0.50
KimLarrichio,1,['Sicario'],4.50,4.00,0.50
JesusNevarez-Castillo,1,['Sicario'],4.50,4.00,0.50
DylanKenin,2,"['Sicario', 'Gold']",3.25,3.56,-0.31
JohnTrejo,1,['Sicario'],4.50,4.00,0.50
MartyLindsey,1,['Sicario'],4.50,4.00,0.50
AlexKnight,1,['Sicario'],4.50,4.00,0.50
MattDamon,13,"['The Martian', 'Interstellar', 'The Departed', 'Dogma', 'The Bourne Identity', 'The Bourne Supremacy', 'The Bourne Ultimatum', 'Jason Bourne', 'EuroTrip', 'Good Will Hunting', 'Chasing Amy', ""Ocean's Eleven"", 'Oppenheimer']",3.19,3.78,-0.59
JessicaChastain,3,"['The Martian', 'Interstellar', 'Zero Dark Thirty']",3.50,3.98,-0.48
KristenWiig,7,"['The Martian', 'How to Train Your Dragon', 'How to Train Your Dragon 2', 'Ghostbusters', 'Her', 'Bridesmaids', 'The Secret Life of Walter Mitty']",3.43,3.63,-0.20
JeffDaniels,1,['The Martian'],4.00,3.80,0.20
MichaelPeña,3,"['The Martian', 'Ant-Man', 'American Hustle']",3.67,3.45,0.21
SeanBean,3,"['The Martian', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']",4.17,4.25,-0.08
KateMara,3,"['The Martian', 'Brokeback Mountain', '127 Hours']",4.17,3.81,0.36
SebastianStan,7,"['The Martian', 'Captain America: The Winter Soldier', 'Captain America: Civil War', 'I, Tonya', 'Avengers: Infinity War', 'Dumb Money', 'Hot Tub Time Machine']",3.43,3.60,-0.17
AkselHennie,1,['The Martian'],4.00,3.80,0.20
ChiwetelEjiofor,7,"['The Martian', 'Children of Men', 'Doctor Strange', '12 Years a Slave', 'The Boy Who Harnessed the Wind', 'Inside Man', 'The Life of Chuck']",3.36,3.83,-0.47
BenedictWong,7,"['The Martian', 'Doctor Strange', 'Prometheus', 'Annihilation', 'Moon', 'Raya and the Last Dragon', 'Spider-Man: No Way Home']",3.43,3.57,-0.15
MackenzieDavis,3,"['The Martian', 'Blade Runner 2049', 'Tully']",3.83,3.83,0.00
DonaldGlover,2,"['The Martian', 'Spider-Man: Homecoming']",3.25,3.64,-0.39
NickMohammed,2,"['The Martian', 'Chicken Run: Dawn of the Nugget']",3.50,3.45,0.05
ChenShu,1,['The Martian'],4.00,3.80,0.20
EddyKoHung,1,['The Martian'],4.00,3.80,0.20
EnzoCilenti,1,['The Martian'],4.00,3.80,0.20
JonathanAris,3,"['The Martian', 'Rogue One: A Star Wars Story', 'Black Mirror: Bandersnatch']",3.67,3.63,0.04
GruffuddGlyn,1,['The Martian'],4.00,3.80,0.20
GeoffreyThomas,1,['The Martian'],4.00,3.80,0.20
AmyPoehler,3,"['Inside Out', 'Tenacious D in The Pick of Destiny', 'Inside Out 2']",3.83,3.63,0.21
PhyllisSmith,2,"['Inside Out', 'Inside Out 2']",3.75,3.69,0.06
RichardKind,3,"['Inside Out', 'Cars', 'Argo']",4.33,3.82,0.52
BillHader,3,"['Inside Out', 'Finding Dory', 'Her']",3.83,3.69,0.14
LewisBlack,2,"['Inside Out', 'Inside Out 2']",3.75,3.69,0.06
MindyKaling,2,"['Inside Out', 'The Night Before']",3.50,3.46,0.04
KaitlynDias,1,['Inside Out'],4.50,3.83,0.67
DianeLane,2,"['Inside Out', 'Inside Out 2']",3.75,3.69,0.06
KyleMacLachlan,6,"['Inside Out', 'Twin Peaks', 'The Doors', 'Blue Velvet', 'Dune (1984)', 'Inside Out 2']",3.08,3.72,-0.64
PaulaPoundstone,1,['Inside Out'],4.50,3.83,0.67
BobbyMoynihan,1,['Inside Out'],4.50,3.83,0.67
PaulaPell,1,['Inside Out'],4.50,3.83,0.67
DaveGoelz,1,['Inside Out'],4.50,3.83,0.67
JoshCooley,2,"['Inside Out', 'Up']",3.50,3.96,-0.46
Flea,4,"['Inside Out', 'The Big Lebowski', 'Baby Driver', 'Babylon']",3.75,3.88,-0.13
JohnRatzenberger,9,"['Inside Out', 'Cars', 'Finding Dory', 'Outland', 'Onward', 'Toy Story 2', 'Toy Story', 'Toy Story 3', 'Up']",3.72,3.76,-0.04
CarlosAlazraqui,1,['Inside Out'],4.50,3.83,0.67
PeterSagal,1,['Inside Out'],4.50,3.83,0.67
RashidaJones,2,"['Inside Out', 'The Social Network']",4.75,3.88,0.87
DomhnallGleeson,7,"['Ex Machina', 'Star Wars: The Force Awakens', 'Frank', 'Star Wars: The Last Jedi', 'mother!', 'Goodbye Christopher Robin', 'Star Wars: The Rise of Skywalker']",3.43,3.27,0.16
AliciaVikander,3,"['Ex Machina', 'Jason Bourne', 'The Light Between Oceans']",2.83,3.45,-0.62
OscarIsaac,7,"['Ex Machina', 'Star Wars: The Force Awakens', 'Star Wars: The Last Jedi', 'Annihilation', 'Star Wars: The Rise of Skywalker', 'Dune', 'Spider-Man: Into the Spider-Verse']",3.71,3.46,0.25
SonoyaMizuno,4,"['Ex Machina', 'Annihilation', 'La La Land', 'Crazy Rich Asians']",3.75,3.79,-0.04
CoreyJohnson,6,"['Ex Machina', 'Captain Phillips', 'The Bourne Ultimatum', 'Jackie', 'Hellboy', 'The Mummy']",3.17,3.67,-0.51
ClaireSelby,1,['Ex Machina'],3.50,3.96,-0.46
SymaraA.Templeman,1,['Ex Machina'],3.50,3.96,-0.46
GanaBayarsaikhan,1,['Ex Machina'],3.50,3.96,-0.46
TiffanyPisani,1,['Ex Machina'],3.50,3.96,-0.46
ElinaAlminas,1,['Ex Machina'],3.50,3.96,-0.46
ChelseaLi,1,['Ex Machina'],3.50,3.96,-0.46
DanPappaspanos,1,['Ex Machina'],3.50,3.96,-0.46
JenniferLawrence,4,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games', 'American Hustle', 'mother!']",3.38,3.53,-0.15
JoshHutcherson,2,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games']",3.50,3.63,-0.13
LiamHemsworth,2,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games']",3.50,3.63,-0.13
WoodyHarrelson,11,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games', 'Now You See Me 2', 'No Country for Old Men', 'War for the Planet of the Apes', 'The Glass Castle', 'The Edge of Seventeen', 'A Scanner Darkly', 'Three Billboards Outside Ebbing, Missouri', 'Triangle of Sadness', 'The Thin Red Line']",2.86,3.71,-0.84
ElizabethBanks,4,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games', 'Catch Me If You Can', 'The Lego Movie']",3.38,3.79,-0.42
JulianneMoore,9,"['The Hunger Games: Mockingjay Part 2', 'Children of Men', 'Still Alice', 'A Single Man', 'The Big Lebowski', 'Boogie Nights', 'Kingsman: The Golden Circle', 'Magnolia', '6 Souls']",3.72,3.75,-0.03
PhilipSeymourHoffman,10,"['The Hunger Games: Mockingjay Part 2', 'Moneyball', 'The Big Lebowski', 'Punch-Drunk Love', 'Boogie Nights', 'Synecdoche, New York', 'Magnolia', 'The Master', '25th Hour', 'Happiness']",3.75,3.99,-0.24
JeffreyWright,4,"['The Hunger Games: Mockingjay Part 2', 'Only Lovers Left Alive', 'The French Dispatch of the Liberty, Kansas Evening Sun', 'Wake Up Dead Man']",3.25,3.68,-0.43
StanleyTucci,4,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games', 'The Devil Wears Prada', 'Spotlight']",3.62,3.81,-0.18
DonaldSutherland,4,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games', 'Ad Astra', 'Pride & Prejudice']",3.25,3.69,-0.44
WillowShields,2,"['The Hunger Games: Mockingjay Part 2', 'The Hunger Games']",3.50,3.63,-0.13
SamClaflin,2,"['The Hunger Games: Mockingjay Part 2', 'Their Finest']",3.00,3.40,-0.40
JenaMalone,4,"['The Hunger Games: Mockingjay Part 2', 'The Neon Demon', 'Pride & Prejudice', 'Love Lies Bleeding']",3.38,3.57,-0.19
MahershalaAli,5,"['The Hunger Games: Mockingjay Part 2', 'Hidden Figures', 'Moonlight', 'Green Book', 'Spider-Man: Into the Spider-Verse']",3.40,3.96,-0.56
NatalieDormer,2,"['The Hunger Games: Mockingjay Part 2', 'Rush']",3.75,3.67,0.08
WesChatham,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
MichelleForbes,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
EldenHenson,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
PatinaMiller,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
EvanRoss,1,['The Hunger Games: Mockingjay Part 2'],3.50,3.47,0.03
PaulRudd,4,"['Ant-Man', 'Captain America: Civil War', 'Avengers: Endgame', 'Clueless']",3.50,3.63,-0.13
MichaelDouglas,3,"['Ant-Man', 'Romancing the Stone', 'The Game']",3.50,3.47,0.03
EvangelineLilly,3,"['Ant-Man', 'The Hobbit: The Desolation of Smaug', 'Avengers: Endgame']",3.67,3.56,0.11
CoreyStoll,3,"['Ant-Man', 'Gold', 'West Side Story']",3.00,3.32,-0.32
BobbyCannavale,6,"['Ant-Man', 'Spy', 'I, Tonya', 'The Irishman', 'Lovelace', 'Snakes on a Plane']",3.08,3.27,-0.19
AnthonyMackie,7,"['Ant-Man', 'Avengers: Age of Ultron', 'Captain America: The Winter Soldier', 'Captain America: Civil War', 'Avengers: Infinity War', 'The Night Before', 'Avengers: Endgame']",3.50,3.56,-0.06
JudyGreer,2,"['Ant-Man', 'War for the Planet of the Apes']",2.50,3.51,-1.01
AbbyRyderFortson,2,"['Ant-Man', ""Are You There God? It's Me, Margaret.""]",3.00,3.48,-0.48
DavidDastmalchian,6,"['Ant-Man', 'Prisoners', 'Blade Runner 2049', 'Dune', 'Oppenheimer', 'The Life of Chuck']",3.58,3.89,-0.31
T.I.,1,['Ant-Man'],3.50,3.21,0.29
WoodHarris,3,"['Ant-Man', 'Blade Runner 2049', 'One Battle After Another']",3.83,3.82,0.01
HayleyAtwell,3,"['Ant-Man', 'Avengers: Age of Ultron', 'Captain America: The Winter Soldier']",3.83,3.40,0.43
JohnSlattery,3,"['Ant-Man', 'Captain America: Civil War', 'Spotlight']",3.67,3.66,0.01
MartinDonovan,2,"['Ant-Man', 'Tenet']",3.50,3.33,0.17
GarrettMorris,1,['Ant-Man'],3.50,3.21,0.29
GreggTurkington,1,['Ant-Man'],3.50,3.21,0.29
RodHallett,1,['Ant-Man'],3.50,3.21,0.29
JoeChrest,2,"['Ant-Man', '21 Jump Street']",3.75,3.42,0.33
JoeBucaroIII,1,['Ant-Man'],3.50,3.21,0.29
DanielCraig,4,"['Spectre', 'Knives Out', 'Glass Onion', 'Wake Up Dead Man']",3.38,3.59,-0.21
ChristophWaltz,3,"['Spectre', 'Django Unchained', 'Inglourious Basterds']",4.00,3.98,0.02
LéaSeydoux,6,"['Spectre', 'The Grand Budapest Hotel', 'The Lobster', 'The French Dispatch of the Liberty, Kansas Evening Sun', 'One Fine Morning', 'Dune: Part Two']",3.50,3.81,-0.31
RalphFiennes,5,"['Spectre', ""Schindler's List"", 'The Grand Budapest Hotel', 'The Menu', 'In Bruges']",3.80,3.93,-0.13
MonicaBellucci,1,['Spectre'],3.00,3.24,-0.24
BenWhishaw,4,"['Spectre', 'The Lobster', 'Paddington', 'Paddington 2']",3.50,3.73,-0.23
NaomieHarris,3,"['Spectre', 'Moonlight', 'Black Bag']",3.33,3.62,-0.28
DaveBautista,8,"['Spectre', 'Guardians of the Galaxy', 'Guardians of the Galaxy Vol. 2', 'Blade Runner 2049', 'Dune', 'Guardians of the Galaxy Vol. 3', 'Dune: Part Two', 'Glass Onion']",3.44,3.80,-0.36
AndrewScott,4,"['Spectre', '1917', 'Pride', 'Wake Up Dead Man']",3.00,3.82,-0.82
RoryKinnear,2,"['Spectre', 'The Imitation Game']",3.75,3.54,0.21
JesperChristensen,3,"['Spectre', 'Melancholia', 'Sentimental Value']",3.17,3.75,-0.58
AlessandroCremona,1,['Spectre'],3.00,3.24,-0.24
StephanieSigman,1,['Spectre'],3.00,3.24,-0.24
TenochHuertaMejía,1,['Spectre'],3.00,3.24,-0.24
AdrianaPaz,1,['Spectre'],3.00,3.24,-0.24
DomenicoFortunato,1,['Spectre'],3.00,3.24,-0.24
MarcoZingaro,1,['Spectre'],3.00,3.24,-0.24
StefanoElfiDiClaudia,1,['Spectre'],3.00,3.24,-0.24
IanBonar,1,['Spectre'],3.00,3.24,-0.24
TamWilliams,1,['Spectre'],3.00,3.24,-0.24
JackNicholson,4,"['The Shining', 'The Departed', 'Easy Rider', 'Chinatown']",4.00,4.16,-0.16
ShelleyDuvall,1,['The Shining'],4.50,4.22,0.28
DannyLloyd,1,['The Shining'],4.50,4.22,0.28
ScatmanCrothers,1,['The Shining'],4.50,4.22,0.28
BarryNelson,1,['The Shining'],4.50,4.22,0.28
PhilipStone,2,"['The Shining', 'Barry Lyndon']",4.50,4.31,0.19
JoeTurkel,3,"['The Shining', 'Blade Runner', 'Paths of Glory']",4.00,4.26,-0.26
AnneJackson,1,['The Shining'],4.50,4.22,0.28
TonyBurton,1,['The Shining'],4.50,4.22,0.28
LiaBeldam,1,['The Shining'],4.50,4.22,0.28
BillieGibson,1,['The Shining'],4.50,4.22,0.28
BarryDennen,1,['The Shining'],4.50,4.22,0.28
DavidBaxt,1,['The Shining'],4.50,4.22,0.28
ManningRedwood,2,"['The Shining', 'Outland']",4.00,3.81,0.19
LisaBurns,1,['The Shining'],4.50,4.22,0.28
LouiseBurns,1,['The Shining'],4.50,4.22,0.28
RobinPappas,1,['The Shining'],4.50,4.22,0.28
AlisonColeridge,1,['The Shining'],4.50,4.22,0.28
BurnellTucker,2,"['The Shining', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb']",4.50,4.26,0.24
JanaShelden,1,['The Shining'],4.50,4.22,0.28
JohnTravolta,4,"['Pulp Fiction', 'Blow Out', 'The Fanatic', 'The Thin Red Line']",3.38,3.54,-0.17
SamuelL.Jackson,15,"['Pulp Fiction', 'The Incredibles', 'Django Unchained', 'The Avengers', 'Avengers: Age of Ultron', 'Jurassic Park', 'Captain America: The Winter Soldier', 'Kingsman: The Secret Service', 'The Hateful Eight', 'Die Hard With a Vengeance', 'I Am Not Your Negro', 'Spider-Man: Far From Home', 'Snakes on a Plane', 'Jungle Fever', ""Mo' Better Blues""]",3.73,3.75,-0.02
UmaThurman,4,"['Pulp Fiction', 'Kill Bill: Vol. 1', 'Gattaca', 'My Super Ex-Girlfriend']",3.38,3.59,-0.22
BruceWillis,7,"['Pulp Fiction', 'Sin City', 'Die Hard 2', 'Die Hard With a Vengeance', 'Live Free or Die Hard', 'Moonrise Kingdom', 'Die Hard']",3.50,3.72,-0.22
VingRhames,2,"['Pulp Fiction', 'The Wild Robot']",4.00,4.22,-0.22
HarveyKeitel,9,"['Pulp Fiction', 'Reservoir Dogs', 'The Grand Budapest Hotel', 'From Dusk Till Dawn', 'Taxi Driver', 'Mean Streets', 'The Irishman', 'Moonrise Kingdom', 'The Piano']",3.67,3.97,-0.31
EricStoltz,1,['Pulp Fiction'],5.00,4.24,0.76
TimRoth,4,"['Pulp Fiction', 'Reservoir Dogs', 'The Hateful Eight', 'Hardcore Henry']",3.62,3.91,-0.28
AmandaPlummer,1,['Pulp Fiction'],5.00,4.24,0.76
MariadeMedeiros,1,['Pulp Fiction'],5.00,4.24,0.76
QuentinTarantino,4,"['Pulp Fiction', 'Reservoir Dogs', 'The Hateful Eight', 'From Dusk Till Dawn']",3.75,3.98,-0.23
ChristopherWalken,5,"['Pulp Fiction', 'Catch Me If You Can', 'The Jungle Book', 'The Deer Hunter', 'Dune: Part Two']",3.80,4.01,-0.21
RosannaArquette,2,"['Pulp Fiction', 'Crash']",4.25,3.95,0.30
PeterGreene,1,['Pulp Fiction'],5.00,4.24,0.76
DuaneWhitaker,1,['Pulp Fiction'],5.00,4.24,0.76
AngelaJones,1,['Pulp Fiction'],5.00,4.24,0.76
PhilLaMarr,1,['Pulp Fiction'],5.00,4.24,0.76
SteveBuscemi,5,"['Pulp Fiction', 'Reservoir Dogs', 'The Big Lebowski', 'The Death of Stalin', 'Fargo']",4.00,4.09,-0.09
BronaghGallagher,1,['Pulp Fiction'],5.00,4.24,0.76
LauraLovelace,1,['Pulp Fiction'],5.00,4.24,0.76
MorganFreeman,8,"['Se7en', 'Batman Begins', 'The Dark Knight Rises', 'Now You See Me 2', 'Lucy', 'The Lego Movie', 'March of the Penguins', 'Glory']",3.19,3.65,-0.46
BradPitt,10,"['Se7en', 'Moneyball', '12 Years a Slave', 'Fight Club', 'Inglourious Basterds', 'Once Upon a Time... in Hollywood', 'Ad Astra', 'The Big Short', ""Ocean's Eleven"", 'Babylon']",3.60,3.99,-0.39
GwynethPaltrow,7,"['Se7en', 'The Avengers', 'Iron Man 3', 'The Royal Tenenbaums', 'Spider-Man: Homecoming', 'Iron Man', 'Marty Supreme']",3.36,3.81,-0.45
KevinSpacey,5,"['Se7en', 'American Beauty', 'Baby Driver', 'Moon', 'L.A. Confidential']",3.90,3.99,-0.09
JohnCassini,1,['Se7en'],5.00,4.37,0.63
R.LeeErmey,3,"['Se7en', 'Toy Story 2', 'Toy Story']",4.33,4.14,0.20
JohnC.McGinley,4,"['Se7en', 'Battle of the Sexes', 'Office Space', 'The Rock']",3.50,3.77,-0.27
PeterCrombie,1,['Se7en'],5.00,4.37,0.63
RegE.Cathey,2,"['Se7en', 'American Psycho']",4.25,4.07,0.18
DanielZacapa,1,['Se7en'],5.00,4.37,0.63
AndrewKevinWalker,1,['Se7en'],5.00,4.37,0.63
GeorgeChristy,1,['Se7en'],5.00,4.37,0.63
EndreHules,2,"['Se7en', 'The Killer']",4.25,3.86,0.39
HawthorneJames,1,['Se7en'],5.00,4.37,0.63
BobMack,1,['Se7en'],5.00,4.37,0.63
WilliamDavidson,1,['Se7en'],5.00,4.37,0.63
BobCollins,1,['Se7en'],5.00,4.37,0.63
JimmyDaleHartsell,1,['Se7en'],5.00,4.37,0.63
RichardRoundtree,1,['Se7en'],5.00,4.37,0.63
CharlineSu,1,['Se7en'],5.00,4.37,0.63
MichaelMadsen,6,"['Reservoir Dogs', 'Kill Bill: Vol. 1', 'Sin City', 'Donnie Brasco', 'The Hateful Eight', 'The Doors']",3.58,3.89,-0.30
ChrisPenn,1,['Reservoir Dogs'],3.50,4.14,-0.64
LawrenceTierney,1,['Reservoir Dogs'],3.50,4.14,-0.64
RandyBrooks,1,['Reservoir Dogs'],3.50,4.14,-0.64
KirkBaltz,1,['Reservoir Dogs'],3.50,4.14,-0.64
EdwardBunker,1,['Reservoir Dogs'],3.50,4.14,-0.64
RichTurner,1,['Reservoir Dogs'],3.50,4.14,-0.64
DavidSteen,2,"['Reservoir Dogs', 'Django Unchained']",4.00,4.23,-0.23
TonyCosmo,1,['Reservoir Dogs'],3.50,4.14,-0.64
StevoPolyi,1,['Reservoir Dogs'],3.50,4.14,-0.64
MichaelSottile,1,['Reservoir Dogs'],3.50,4.14,-0.64
RobertRuth,1,['Reservoir Dogs'],3.50,4.14,-0.64
LawrenceBender,1,['Reservoir Dogs'],3.50,4.14,-0.64
LindaKaye,1,['Reservoir Dogs'],3.50,4.14,-0.64
SuzanneCeleste,1,['Reservoir Dogs'],3.50,4.14,-0.64
StevenWright,2,"['Reservoir Dogs', 'The Swan Princess']",3.00,3.71,-0.71
KeanuReeves,9,"['The Matrix', 'John Wick: Chapter 2', 'John Wick', 'The Neon Demon', 'A Scanner Darkly', 'John Wick: Chapter 3 – Parabellum', 'Replicas', ""Bill & Ted's Excellent Adventure"", 'John Wick: Chapter 4']",3.22,3.54,-0.31
LaurenceFishburne,8,"['The Matrix', 'Mystic River', 'John Wick: Chapter 2', 'Event Horizon', 'Apocalypse Now', 'John Wick: Chapter 3 – Parabellum', 'John Wick: Chapter 4', 'Boyz n the Hood']",3.81,3.90,-0.08
Carrie-AnneMoss,2,"['The Matrix', 'Memento']",4.75,4.18,0.57
HugoWeaving,5,"['The Matrix', 'Hacksaw Ridge', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']",4.10,4.31,-0.21
GloriaFoster,1,['The Matrix'],5.00,4.18,0.82
JoePantoliano,4,"['The Matrix', 'Memento', 'The Goonies', 'Risky Business']",4.00,3.90,0.10
MarcusChong,1,['The Matrix'],5.00,4.18,0.82
JulianArahanga,1,['The Matrix'],5.00,4.18,0.82
MattDoran,1,['The Matrix'],5.00,4.18,0.82
BelindaMcClory,1,['The Matrix'],5.00,4.18,0.82
AnthonyRayParker,1,['The Matrix'],5.00,4.18,0.82
PaulGoddard,1,['The Matrix'],5.00,4.18,0.82
RobertTaylor,1,['The Matrix'],5.00,4.18,0.82
DavidAston,1,['The Matrix'],5.00,4.18,0.82
MarcAdenGray,1,['The Matrix'],5.00,4.18,0.82
AdaNicodemou,1,['The Matrix'],5.00,4.18,0.82
DeniGordon,1,['The Matrix'],5.00,4.18,0.82
RowanWitt,1,['The Matrix'],5.00,4.18,0.82
EleanorWitt,1,['The Matrix'],5.00,4.18,0.82
TamaraBrown,1,['The Matrix'],5.00,4.18,0.82
JodieFoster,3,"['The Silence of the Lambs', 'Taxi Driver', 'Inside Man']",3.83,4.05,-0.22
AnthonyHopkins,4,"['The Silence of the Lambs', 'Thor: Ragnarok', 'The Mask of Zorro', 'The Remains of the Day']",3.38,3.86,-0.48
ScottGlenn,3,"['The Silence of the Lambs', 'The Bourne Ultimatum', 'Apocalypse Now']",4.00,4.17,-0.17
TedLevine,1,['The Silence of the Lambs'],4.00,4.34,-0.34
AnthonyHeald,1,['The Silence of the Lambs'],4.00,4.34,-0.34
BrookeSmith,1,['The Silence of the Lambs'],4.00,4.34,-0.34
DianeBaker,1,['The Silence of the Lambs'],4.00,4.34,-0.34
KasiLemmons,1,['The Silence of the Lambs'],4.00,4.34,-0.34
FrankieFaison,1,['The Silence of the Lambs'],4.00,4.34,-0.34
TraceyWalter,2,"['The Silence of the Lambs', 'Erin Brockovich']",3.25,4.12,-0.87
