director,count,movies_from_director,my_rating,avg_rating,diff_rating
RobertBenton,1,['Kramer vs. Kramer'],4.00,4.08,-0.08
AlejandroMartínezBeltrán,1,['Veronica'],2.50,2.88,-0.38
CarlosAlgara,1,['Veronica'],2.50,2.88,-0.38
ChloéZhao,1,['Nomadland'],3.50,3.81,-0.31
BjörnStein,1,['6 Souls'],3.00,2.64,0.36
MånsMårlind,1,['6 Souls'],3.00,2.64,0.36
JohanNijenhuis,1,['The Marriage Escape'],3.50,3.44,0.06
PeterWeir,2,"['The Truman Show', 'Master and Commander: The Far Side of the World']",3.50,4.11,-0.61
SpikeJonze,3,"['Her', 'Being John Malkovich', 'Adaptation.']",3.50,4.05,-0.55
MartinCampbell,1,['The Mask of Zorro'],3.00,3.44,-0.44
JohnCarney,1,['Sing Street'],3.50,4.05,-0.55
JoeWright,2,"['Pride & Prejudice', 'Atonement']",3.50,4.07,-0.57
DeeRees,1,['Mudbound'],3.00,3.76,-0.76
DanScanlon,1,['Onward'],3.00,3.33,-0.33
MartinMcDonagh,3,"['Three Billboards Outside Ebbing, Missouri', 'The Banshees of Inisherin', 'In Bruges']",3.33,4.10,-0.77
JuliaDucournau,1,['Raw'],4.00,3.67,0.33
WesCraven,1,['The Last House on the Left'],3.00,2.87,0.13
AnnDeborahFishman,1,['Swiped'],0.50,1.10,-0.60
MaryHarron,1,['American Psycho'],3.50,3.77,-0.27
EmeraldFennell,1,['Promising Young Woman'],3.50,3.66,-0.16
MikeFlanagan,2,"['Hush', 'The Life of Chuck']",3.00,3.45,-0.45
JasonWoliner,1,['Borat Subsequent Moviefilm'],3.50,3.27,0.23
RobEpstein,1,['Lovelace'],2.00,2.94,-0.94
JeffreyFriedman,1,['Lovelace'],2.00,2.94,-0.94
EnricoCasarosa,1,['Luca'],3.00,3.68,-0.68
JonWatts,3,"['Spider-Man: Homecoming', 'Spider-Man: Far From Home', 'Spider-Man: No Way Home']",2.67,3.57,-0.90
OliviaWilde,1,['Booksmart'],3.50,3.70,-0.20
ChristianSchwochow,1,['Munich – The Edge of War'],3.50,3.37,0.13
DavidWnendt,1,"[""Look Who's Back""]",3.00,3.44,-0.44
LucJacquet,1,['March of the Penguins'],3.50,3.60,-0.10
AndreaArnold,1,['Fish Tank'],4.00,3.84,0.16
DariusMarder,1,['Sound of Metal'],4.00,4.21,-0.21
LucaGuadagnino,1,['Call Me by Your Name'],4.00,3.85,0.15
S.S.Rajamouli,1,['RRR'],3.00,4.20,-1.20
MiaHansen-Løve,1,['One Fine Morning'],3.00,3.62,-0.62
MarkMylod,1,['The Menu'],3.50,3.52,-0.02
HirokazuKore-eda,1,['Broker'],3.50,3.78,-0.28
LukasDhont,1,['Close'],4.00,4.13,-0.13
PeterFarrelly,1,['Green Book'],2.50,3.85,-1.35
RubenÖstlund,1,['Triangle of Sadness'],2.50,3.69,-1.19
StevenShainberg,1,['Secretary'],3.00,3.55,-0.55
TomGormican,1,['The Unbearable Weight of Massive Talent'],3.50,3.43,0.07
JoachimTrier,3,"['The Worst Person in the World', 'Oslo, August 31st', 'Sentimental Value']",3.67,4.11,-0.45
CharlotteWells,1,['Aftersun'],5.00,4.21,0.79
SophieHyde,1,"['Good Luck to You, Leo Grande']",3.50,3.62,-0.12
FlorianHenckelvonDonnersmarck,1,['The Lives of Others'],3.50,4.29,-0.79
TaylorSheridan,1,['Wind River'],3.00,3.84,-0.84
BobPersichetti,1,['Spider-Man: Into the Spider-Verse'],4.00,4.39,-0.39
PeterRamsey,1,['Spider-Man: Into the Spider-Verse'],4.00,4.39,-0.39
RodneyRothman,1,['Spider-Man: Into the Spider-Verse'],4.00,4.39,-0.39
LeonardNimoy,2,"['Star Trek III: The Search for Spock', 'Star Trek IV: The Voyage Home']",3.25,3.51,-0.26
JohnFrancisDaley,1,['Game Night'],4.50,3.51,0.99
JonathanGoldstein,1,['Game Night'],4.50,3.51,0.99
JaneCampion,2,"['The Power of the Dog', 'The Piano']",3.25,3.75,-0.50
NuriBilgeCeylan,3,"['Once Upon a Time in Anatolia', 'Winter Sleep', 'About Dry Grasses']",3.83,4.13,-0.30
SpikeLee,7,"['Inside Man', ""She's Gotta Have It"", 'Malcolm X', 'BlacKkKlansman', '25th Hour', 'Jungle Fever', ""Mo' Better Blues""]",3.07,3.81,-0.73
WilliamShatner,1,['Star Trek V: The Final Frontier'],1.50,2.58,-1.08
JohanRenck,1,['Chernobyl'],4.50,4.60,-0.10
NicholasMeyer,1,['Star Trek VI: The Undiscovered Country'],3.00,3.64,-0.64
RobertWise,1,['Star Trek: The Motion Picture'],3.50,3.20,0.30
MariaSchrader,1,"[""I'm Your Man""]",3.00,3.53,-0.53
JustineTriet,1,['Anatomy of a Fall'],4.00,4.12,-0.12
XavierDolan,1,['Mommy'],3.00,4.32,-1.32
PaulKing,2,"['Paddington', 'Paddington 2']",3.75,3.96,-0.21
RolandJoffé,1,['The Killing Fields'],3.50,3.95,-0.45
JonathanGlazer,1,['The Zone of Interest'],2.50,3.86,-1.36
JayRoach,1,['Austin Powers: International Man of Mystery'],2.50,3.44,-0.94
AndrewAdamson,1,['Shrek'],2.50,4.12,-1.62
VickyJenson,1,['Shrek'],2.50,4.12,-1.62
MikeJudge,2,"['Idiocracy', 'Office Space']",3.00,3.31,-0.31
GeorgeSluizer,1,['The Vanishing'],4.00,4.01,-0.01
ErmannoOlmi,1,['Il Posto'],3.00,4.15,-1.15
ArmandoIannucci,1,['The Death of Stalin'],3.00,3.80,-0.80
JeffTremaine,1,['Jackass Forever'],4.00,3.55,0.45
AliceRohrwacher,1,['La Chimera'],4.50,4.09,0.41
JohnCassavetes,1,['A Woman Under the Influence'],4.50,4.40,0.10
DenizGamzeErgüven,1,['Mustang'],2.50,4.15,-1.65
AlexanderPayne,1,['The Holdovers'],3.00,4.25,-1.25
AsgharFarhadi,1,['A Separation'],4.50,4.37,0.13
RobertLuketic,1,['Legally Blonde'],3.50,3.83,-0.33
RogerMichell,1,['Notting Hill'],1.50,3.68,-2.18
DavidR.Ellis,1,['Snakes on a Plane'],2.00,2.50,-0.50
DanielScheinert,2,"['Everything Everywhere All at Once', 'Swiss Army Man']",3.00,3.96,-0.96
DanielKwan,2,"['Everything Everywhere All at Once', 'Swiss Army Man']",3.00,3.96,-0.96
LiamLynch,1,['Tenacious D in The Pick of Destiny'],4.00,3.51,0.49
StevePink,1,['Hot Tub Time Machine'],2.00,2.81,-0.81
PaulBrickman,1,['Risky Business'],3.50,3.43,0.07
HansPetterMoland,1,['In Order of Disappearance'],3.00,3.58,-0.58
CoralieFargeat,1,['The Substance'],3.50,3.73,-0.23
MelBrooks,1,['The Producers'],3.00,3.79,-0.79
LeeUnkrich,1,['Toy Story 3'],4.50,4.01,0.49
AmyHeckerling,1,['Clueless'],3.50,3.69,-0.19
JimSharman,1,['The Rocky Horror Picture Show'],3.50,4.05,-0.55
JamieBabbit,1,"[""But I'm a Cheerleader""]",3.00,4.01,-1.01
KelseyMann,1,['Inside Out 2'],3.00,3.54,-0.54
EmmaSeligman,1,['Bottoms'],3.00,3.80,-0.80
ChrisColumbus,1,['Home Alone'],4.00,3.85,0.15
LeeIsaacChung,1,['Minari'],3.00,4.08,-1.08
GintsZilbalodis,1,['Flow'],3.50,4.09,-0.59
HalinaReijn,1,['Babygirl'],2.00,2.69,-0.69
JohnBerry,1,['Claudine'],4.00,3.81,0.19
BradyCorbet,1,['The Brutalist'],3.50,3.89,-0.39
MatthewWarchus,1,['Pride'],3.00,4.15,-1.15
SamFell,1,['Chicken Run: Dawn of the Nugget'],3.00,3.10,-0.10
RyanCoogler,2,"['Black Panther', 'Sinners']",3.75,3.90,-0.15
MasakiKobayashi,1,['Harakiri'],3.00,4.68,-1.68
LuisBuñuel,1,['The Discreet Charm of the Bourgeoisie'],3.00,3.99,-0.99
AnnabelJankel,1,['Super Mario Bros.'],1.50,2.14,-0.64
RockyMorton,1,['Super Mario Bros.'],1.50,2.14,-0.64
JennieLivingston,1,['Paris Is Burning'],4.00,4.55,-0.55
BenStiller,1,['The Secret Life of Walter Mitty'],3.00,3.86,-0.86
MarkDindal,1,"[""The Emperor's New Groove""]",4.00,3.93,0.07
ToddSolondz,1,['Happiness'],3.50,3.97,-0.47
RoseGlass,1,['Love Lies Bleeding'],3.50,3.53,-0.03
JimmyChin,1,['Free Solo'],2.50,4.06,-1.56
ElizabethChaiVasarhelyi,1,['Free Solo'],2.50,4.06,-1.56
MichaelBay,1,['The Rock'],3.00,3.59,-0.59
DrewHancock,1,['Companion'],3.50,3.37,0.13
KittyGreen,1,['The Assistant'],4.00,3.50,0.50
AkivaSchaffer,1,['Popstar: Never Stop Never Stopping'],4.00,3.62,0.38
JormaTaccone,1,['Popstar: Never Stop Never Stopping'],4.00,3.62,0.38
MeganPark,1,['My Old Ass'],2.00,3.53,-1.53
JenniferKent,1,['The Babadook'],3.50,3.31,0.19
CurtisHanson,1,['L.A. Confidential'],3.50,4.09,-0.59
BarryLevinson,1,['Rain Man'],1.50,3.89,-2.39
JohnSingleton,1,['Boyz n the Hood'],4.00,4.05,-0.05
LawrenceLamont,1,['One of Them Days'],3.00,3.43,-0.43
ChrisAppelhans,1,['KPop Demon Hunters'],3.00,3.56,-0.56
MaggieKang,1,['KPop Demon Hunters'],3.00,3.56,-0.56
SeanByrne,1,['Dangerous Animals'],3.00,2.99,0.01
DeaKulumbegashvili,1,['April'],3.50,3.48,0.02
EdwardZwick,1,['Glory'],3.00,3.78,-0.78
JamesIvory,1,['The Remains of the Day'],3.50,3.96,-0.46
CameronCrowe,1,['Jerry Maguire'],3.00,3.60,-0.60
JasmilaŽbanić,1,"['Quo Vadis, Aida?']",3.50,4.24,-0.74
ChantalAkerman,1,"['Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles']",4.00,4.26,-0.26
MilošForman,1,['Amadeus'],3.00,4.36,-1.36
FrancisLee,1,"[""God's Own Country""]",3.50,3.97,-0.47
MaxBarbakow,1,['Palm Springs'],3.00,3.76,-0.76
BernardoBertolucci,1,['The Conformist'],3.50,4.20,-0.70
JonathanLynn,1,['My Cousin Vinny'],3.00,3.93,-0.93
